Chromosome_name Circle_start    Circle_end      abundance
chr10	100012322	100012543	7.5
chr10	100013160	100013481	7.5
chr10	100019794	100019962	7.5
chr10	100026643	100026757	6.8
chr10	100028332	100028854	7.0
chr10	100046965	100047702	2.7
chr10	100054083	100054249	4.2
chr10	100069527	100069820	4.7
chr10	100081991	100082503	34.0
chr10	100082566	100083101	34.0
chr10	100082812	100083320	34.0
chr10	100084126	100084440	17.4
chr10	100121973	100122527	63.2
chr10	100122072	100122431	63.2
chr10	100160785	100160966	2.8
chr10	100169199	100169536	10.9
chr10	100177295	100178190	16.9
chr10	100177463	100177887	16.9
chr10	100177511	100178135	16.9
chr10	100180480	100181146	14.5
chr10	100183020	100183653	21.3
chr10	100183521	100184110	21.3
chr10	100184141	100184284	21.3
chr10	100198786	100199034	5.3
chr10	100226883	100227106	3.4
chr10	100227356	100228079	22.3
chr10	100269319	100269539	211.4
chr10	100361428	100361952	6.3
chr10	100421475	100421994	12.7
chr10	100421631	100421997	12.7
chr10	100588997	100589121	5.0
chr10	100605337	100605834	27.6
chr10	100844821	100845340	78.1
chr10	100872001	100872148	16.0
chr10	100957448	100957850	6.6
chr10	101042786	101042947	14.8
chr10	101099174	101099418	6.0
chr10	1011239	1011780	16.9
chr10	101190405	101190934	4.0
chr10	101190676	101190896	4.0
chr10	101218199	101218502	9.3
chr10	1012559	1012967	4.3
chr10	101315268	101315522	86.0
chr10	101329368	101329991	4.3
chr10	101342956	101343306	21.2
chr10	101358914	101359315	8.2
chr10	10136401	10136931	1.6
chr10	101380279	101380641	4.6
chr10	101453382	101453511	35.2
chr10	101605889	101606114	16.1
chr10	101640690	101641117	9.0
chr10	101664374	101664574	17.4
chr10	101789092	101789508	7.6
chr10	101836010	101836680	3.6
chr10	101840983	101841546	8.1
chr10	101984216	101984521	2.8
chr10	102010434	102010704	13.1
chr10	10202738	10203234	22.7
chr10	102048618	102048781	9.0
chr10	102088363	102088653	9.9
chr10	102106752	102107682	3.3
chr10	102193389	102193752	13.8
chr10	102247150	102247858	3.1
chr10	102309003	102309245	12.1
chr10	1023156	1023433	18.3
chr10	1023500	1024059	18.3
chr10	102368258	102368602	37.1
chr10	102390277	102390486	5.5
chr10	102397266	102397937	4.5
chr10	102488970	102489109	9.2
chr10	102497339	102497816	3.6
chr10	102551055	102551697	5.7
chr10	102557932	102558164	10.0
chr10	102565632	102566019	3.8
chr10	102568893	102569026	5.8
chr10	102628029	102628196	127.2
chr10	102685935	102686322	8.8
chr10	102730346	102730590	7.8
chr10	102755079	102755368	21.6
chr10	102757513	102758333	9.5
chr10	102763266	102763995	8.8
chr10	102772565	102773253	4.7
chr10	102776295	102776501	294.4
chr10	102785307	102785773	13.6
chr10	10279217	10279755	89.1
